Open,High,Low,Close,Time,ATR,highest,lowest,longStop,longStopPrev,shortStop,shortStopPrev
194.88,195.95,194.88,195.94,2024-03-30 16:15:00,2.1399999999999864,195.94,195.94,193.8,193.8,198.07999999999998,198.07999999999998
195.93,196.74,195.77,196.41,2024-03-30 16:30:00,1.9399999999999977,196.41,196.41,194.47,193.8,198.07999999999998,198.07999999999998
196.41,196.54,195.62,195.96,2024-03-30 16:45:00,1.839999999999975,195.96,195.96,194.47,194.47,197.79999999999998,198.35
195.96,196.72,195.89,196.38,2024-03-30 17:00:00,1.660000000000025,196.38,196.38,194.71999999999997,194.12000000000003,197.79999999999998,197.79999999999998
196.38,196.42,195.82,196.37,2024-03-30 17:15:00,1.1999999999999886,196.37,196.37,195.17000000000002,194.71999999999997,197.57,198.04000000000002
196.37,196.58,195.93,196.05,2024-03-30 17:30:00,1.3000000000000114,196.05,196.05,195.17000000000002,195.17000000000002,197.35000000000002,197.57
196.05,196.05,195.38,195.99,2024-03-30 17:45:00,1.3400000000000318,195.99,195.99,194.75,194.75,197.33000000000004,197.35000000000002
195.99,196.7,195.99,196.43,2024-03-30 18:00:00,1.419999999999959,196.43,196.43,195.01000000000005,194.64999999999998,197.33000000000004,197.33000000000004
196.43,197.18,196.3,196.67,2024-03-30 18:15:00,1.759999999999991,196.67,196.67,195.01000000000005,195.01000000000005,197.84999999999997,197.84999999999997
196.67,197.2,196.58,197.19,2024-03-30 18:30:00,1.2399999999999523,197.19,197.19,195.95000000000005,194.91,198.42999999999995,198.42999999999998
197.19,198.8,197.18,197.76,2024-03-30 18:45:00,3.240000000000009,197.76,197.76,195.95000000000005,195.95000000000005,198.42999999999995,198.42999999999995
197.76,198.12,196.62,197.62,2024-03-30 19:00:00,3.0,197.62,197.62,194.62,194.51999999999998,200.62,201.0
197.62,198.5,197.35,197.91,2024-03-30 19:15:00,2.3000000000000114,197.91,197.91,195.60999999999999,194.62,200.21,200.62
197.9,197.91,196.91,197.24,2024-03-30 19:30:00,2.0,197.24,197.24,195.60999999999999,195.60999999999999,199.24,200.21
197.24,198.06,197.07,197.98,2024-03-30 19:45:00,1.9800000000000182,197.98,197.98,195.99999999999997,195.24,199.24,199.24
197.99,198.02,196.69,196.86,2024-03-30 20:00:00,2.660000000000025,196.86,196.86,195.99999999999997,195.99999999999997,199.52000000000004,199.96
196.86,197.44,196.64,196.73,2024-03-30 20:15:00,1.6000000000000227,196.73,196.73,195.12999999999997,194.2,198.33,199.52000000000004
196.73,197.5,196.15,196.96,2024-03-30 20:30:00,2.6999999999999886,196.96,196.96,195.12999999999997,195.12999999999997,198.33,198.33
196.95,197.4,196.83,197.14,2024-03-30 20:45:00,1.1399999999999864,197.14,197.14,196.0,194.26000000000002,198.27999999999997,199.66
197.13,197.32,196.63,197.3,2024-03-30 21:00:00,1.3799999999999955,197.3,197.3,196.0,196.0,198.27999999999997,198.27999999999997
197.3,197.38,196.47,196.47,2024-03-30 21:15:00,1.8199999999999932,196.47,196.47,195.92000000000002,195.92000000000002,198.29,198.68
196.47,196.88,195.47,195.95,2024-03-30 21:30:00,2.819999999999993,195.95,195.95,194.65,194.65,198.29,198.29
195.94,196.05,195.05,195.9,2024-03-30 21:45:00,2.0,195.9,195.9,193.9,193.13,197.9,198.76999999999998
195.89,196.77,195.87,196.69,2024-03-30 22:00:00,1.8000000000000114,196.69,196.69,194.89,193.9,197.9,197.9
196.68,196.69,195.51,195.7,2024-03-30 22:15:00,2.3600000000000136,195.7,195.7,194.89,194.89,198.06,198.49
195.7,196.38,195.31,196.17,2024-03-30 22:30:00,2.1399999999999864,196.17,196.17,194.03,193.33999999999997,198.06,198.06
196.17,196.37,195.92,196.29,2024-03-30 22:45:00,0.9000000000000341,196.29,196.29,195.38999999999996,194.03,197.19000000000003,198.30999999999997
196.3,196.84,195.9,196.17,2024-03-30 23:00:00,1.8799999999999955,196.17,196.17,195.38999999999996,195.38999999999996,197.19000000000003,197.19000000000003
196.18,197.0,195.7,196.89,2024-03-30 23:15:00,2.6000000000000227,196.89,196.89,194.29,194.29,198.04999999999998,198.04999999999998
196.88,197.44,196.4,196.7,2024-03-30 23:30:00,2.079999999999984,196.7,196.7,194.62,194.28999999999996,198.77999999999997,199.49
196.7,197.9,196.58,197.6,2024-03-30 23:45:00,2.6399999999999864,197.6,197.6,194.96,194.62,198.77999999999997,198.77999999999997
197.61,197.66,196.61,196.66,2024-03-31 00:00:00,2.099999999999966,196.66,196.66,194.96,194.96,198.75999999999996,200.23999999999998
196.66,197.5,196.61,197.49,2024-03-31 00:15:00,1.7799999999999727,197.49,197.49,195.71000000000004,194.56000000000003,198.75999999999996,198.75999999999996
197.48,197.82,197.13,197.36,2024-03-31 00:30:00,1.3799999999999955,197.36,197.36,195.98000000000002,195.71000000000004,198.74,199.26999999999998
197.35,197.35,196.71,196.93,2024-03-31 00:45:00,1.3000000000000114,196.93,196.93,195.98000000000002,195.98000000000002,198.23000000000002,198.74
196.94,196.94,196.42,196.6,2024-03-31 01:00:00,1.0400000000000205,196.6,196.6,195.63,195.63,197.64000000000001,198.23000000000002
196.6,197.03,196.41,196.98,2024-03-31 01:15:00,1.240000000000009,196.98,196.98,195.73999999999998,195.55999999999997,197.64000000000001,197.64000000000001
196.98,197.03,196.13,196.14,2024-03-31 01:30:00,1.8000000000000114,196.14,196.14,195.73999999999998,195.73999999999998,197.94,198.22
196.15,196.58,195.67,195.67,2024-03-31 01:45:00,1.82000000000005,195.67,195.67,194.33999999999997,194.33999999999997,197.49000000000004,197.94
195.7,195.75,193.47,193.78,2024-03-31 02:00:00,4.560000000000002,193.78,193.78,193.84999999999994,193.84999999999994,197.49000000000004,197.49000000000004
193.77,194.75,193.44,194.75,2024-03-31 02:15:00,2.6200000000000045,194.75,194.75,192.13,189.22,197.37,198.34
194.75,195.56,194.45,195.45,2024-03-31 02:30:00,2.2200000000000273,195.45,195.45,193.22999999999996,192.13,197.37,197.37
195.44,195.85,195.3,195.45,2024-03-31 02:45:00,1.099999999999966,195.45,195.45,194.35000000000002,193.22999999999996,196.54999999999995,197.67000000000002
195.45,195.81,194.58,195.65,2024-03-31 03:00:00,2.4599999999999795,195.65,195.65,194.35000000000002,194.35000000000002,196.54999999999995,196.54999999999995
195.64,195.74,195.28,195.66,2024-03-31 03:15:00,0.9200000000000159,195.66,195.66,194.73999999999998,193.19000000000003,196.58,198.10999999999999
195.66,195.66,194.5,195.05,2024-03-31 03:30:00,2.319999999999993,195.05,195.05,194.73999999999998,194.73999999999998,196.58,196.58
195.04,195.17,194.76,194.78,2024-03-31 03:45:00,0.8199999999999932,194.78,194.78,193.96,192.73000000000002,195.6,197.37
194.78,195.34,194.04,194.08,2024-03-31 04:00:00,2.6000000000000227,194.08,194.08,193.96,193.96,195.6,195.6
194.08,194.71,193.88,194.04,2024-03-31 04:15:00,1.660000000000025,194.04,194.04,192.37999999999997,191.48,195.70000000000002,196.68000000000004
194.03,195.14,193.73,195.09,2024-03-31 04:30:00,2.819999999999993,195.09,195.09,192.37999999999997,192.37999999999997,195.70000000000002,195.70000000000002
195.09,195.61,194.36,195.17,2024-03-31 04:45:00,2.5,195.17,195.17,192.67,192.27,197.67,197.91
195.16,195.32,194.57,195.11,2024-03-31 05:00:00,1.5,195.11,195.11,193.61,192.67,196.61,197.67
195.1,196.74,194.84,196.49,2024-03-31 05:15:00,3.8000000000000114,196.49,196.49,193.61,193.61,196.61,196.61
196.49,196.52,195.51,195.73,2024-03-31 05:30:00,2.0200000000000387,195.73,195.73,193.70999999999995,192.69,197.75000000000003,200.29000000000002
195.73,196.39,195.66,196.18,2024-03-31 05:45:00,1.4599999999999795,196.18,196.18,194.72000000000003,193.70999999999995,197.64,197.75000000000003
196.17,196.17,195.31,195.41,2024-03-31 06:00:00,1.740000000000009,195.41,195.41,194.72000000000003,194.72000000000003,197.15,197.64
195.42,195.52,193.26,193.39,2024-03-31 06:15:00,4.520000000000039,193.39,193.39,193.67,193.67,197.15,197.15
193.39,194.61,193.39,193.94,2024-03-31 06:30:00,2.4400000000000546,193.94,193.94,191.49999999999994,188.86999999999995,196.38000000000005,197.91000000000003
193.93,194.51,193.82,194.2,2024-03-31 06:45:00,1.3799999999999955,194.2,194.2,192.82,191.49999999999994,195.57999999999998,196.38000000000005
194.19,195.61,194.07,195.54,2024-03-31 07:00:00,3.080000000000041,195.54,195.54,192.82,192.82,195.57999999999998,195.57999999999998
195.54,196.11,195.14,196.1,2024-03-31 07:15:00,1.9400000000000546,196.1,196.1,194.15999999999994,192.45999999999995,198.04000000000005,198.62000000000003
196.1,196.1,195.26,195.81,2024-03-31 07:30:00,1.6800000000000068,195.81,195.81,194.15999999999994,194.15999999999994,197.49,198.04000000000005
195.81,195.83,195.03,195.24,2024-03-31 07:45:00,1.6000000000000227,195.24,195.24,194.13,194.13,196.84000000000003,197.49
195.23,196.15,194.44,195.91,2024-03-31 08:00:00,3.420000000000016,195.91,195.91,193.64,193.64,196.84000000000003,196.84000000000003
195.91,196.1,195.17,195.95,2024-03-31 08:15:00,1.8600000000000136,195.95,195.95,194.08999999999997,192.48999999999998,197.81,199.33
195.93,196.27,195.41,196.13,2024-03-31 08:30:00,1.7200000000000273,196.13,196.13,194.40999999999997,194.08999999999997,197.81,197.81
196.13,197.24,196.06,196.87,2024-03-31 08:45:00,2.3600000000000136,196.87,196.87,194.51,194.40999999999997,197.85000000000002,197.85000000000002
196.87,197.31,196.27,197.08,2024-03-31 09:00:00,2.079999999999984,197.08,197.08,195.00000000000003,194.51,199.16,199.23000000000002
197.08,197.1,196.54,196.9,2024-03-31 09:15:00,1.1200000000000045,196.9,196.9,195.78,195.00000000000003,198.02,199.16
196.91,196.91,195.72,195.76,2024-03-31 09:30:00,2.3799999999999955,195.76,195.76,195.78,195.78,198.02,198.02
195.76,195.88,195.17,195.54,2024-03-31 09:45:00,1.420000000000016,195.54,195.54,194.11999999999998,193.38,196.96,198.14
195.53,195.77,194.74,194.81,2024-03-31 10:00:00,2.0600000000000023,194.81,194.81,194.11999999999998,194.11999999999998,196.87,196.96
194.8,194.87,193.69,194.21,2024-03-31 10:15:00,2.3600000000000136,194.21,194.21,192.75,192.75,196.57000000000002,196.87
194.21,195.03,194.21,194.66,2024-03-31 10:30:00,1.6399999999999864,194.66,194.66,193.02,191.85,196.29999999999998,196.57000000000002
194.66,194.77,194.16,194.29,2024-03-31 10:45:00,1.2200000000000273,194.29,194.29,193.06999999999996,193.02,195.51000000000002,196.29999999999998
194.3,194.64,194.09,194.59,2024-03-31 11:00:00,1.099999999999966,194.59,194.59,193.49000000000004,193.06999999999996,195.51000000000002,195.51000000000002
194.6,194.84,194.0,194.84,2024-03-31 11:15:00,1.6800000000000068,194.84,194.84,193.49000000000004,193.49000000000004,195.68999999999997,195.68999999999997
194.85,195.31,194.74,194.97,2024-03-31 11:30:00,1.1399999999999864,194.97,194.97,193.83,193.16,196.10999999999999,196.52
194.97,195.59,194.57,195.4,2024-03-31 11:45:00,2.0400000000000205,195.4,195.4,193.83,193.83,196.10999999999999,196.10999999999999
195.41,196.3,195.18,196.3,2024-03-31 12:00:00,2.240000000000009,196.3,196.3,194.06,193.35999999999999,197.44000000000003,197.44000000000003
196.29,196.59,195.88,196.21,2024-03-31 12:15:00,1.420000000000016,196.21,196.21,194.79,194.06,197.63000000000002,198.54000000000002
196.21,196.3,195.67,195.94,2024-03-31 12:30:00,1.2600000000000477,195.94,195.94,194.79,194.79,197.20000000000005,197.63000000000002
195.94,196.7,195.93,196.51,2024-03-31 12:45:00,1.5399999999999636,196.51,196.51,194.97000000000003,194.67999999999995,197.20000000000005,197.20000000000005
196.51,196.56,195.67,195.76,2024-03-31 13:00:00,1.7800000000000296,195.76,195.76,194.97000000000003,194.97000000000003,197.54000000000002,198.04999999999995
195.77,195.98,195.36,195.56,2024-03-31 13:15:00,1.2399999999999523,195.56,195.56,194.32000000000005,193.97999999999996,196.79999999999995,197.54000000000002
195.56,195.91,195.4,195.45,2024-03-31 13:30:00,1.0199999999999818,195.45,195.45,194.43,194.32000000000005,196.46999999999997,196.79999999999995
195.46,195.7,194.76,195.02,2024-03-31 13:45:00,1.8799999999999955,195.02,195.02,194.43,194.43,196.46999999999997,196.46999999999997
195.03,195.46,194.82,195.38,2024-03-31 14:00:00,1.2800000000000296,195.38,195.38,194.09999999999997,193.14000000000001,196.66000000000003,196.9
195.39,195.93,195.31,195.86,2024-03-31 14:15:00,1.240000000000009,195.86,195.86,194.62,194.09999999999997,196.66000000000003,196.66000000000003
195.86,196.05,195.35,195.81,2024-03-31 14:30:00,1.400000000000034,195.81,195.81,194.62,194.62,197.10000000000002,197.10000000000002
195.82,197.34,195.59,196.74,2024-03-31 14:45:00,3.5,196.74,196.74,194.40999999999997,194.40999999999997,197.21000000000004,197.21000000000004
196.75,197.21,196.74,196.89,2024-03-31 15:00:00,0.9399999999999977,196.89,196.89,195.95,193.24,197.82999999999998,200.24
196.88,197.14,196.03,196.31,2024-03-31 15:15:00,2.2199999999999704,196.31,196.31,195.95,195.95,197.82999999999998,197.82999999999998
196.31,196.71,196.16,196.22,2024-03-31 15:30:00,1.1000000000000227,196.22,196.22,195.11999999999998,194.09000000000003,197.32000000000002,198.52999999999997
196.23,197.15,196.09,197.02,2024-03-31 15:45:00,2.1200000000000045,197.02,197.02,195.11999999999998,195.11999999999998,197.32000000000002,197.32000000000002
197.02,197.1,196.14,196.27,2024-03-31 16:00:00,1.920000000000016,196.27,196.27,194.9,194.9,198.19000000000003,199.14000000000001
196.26,196.56,195.7,196.42,2024-03-31 16:15:00,1.7200000000000273,196.42,196.42,194.69999999999996,194.35,198.14000000000001,198.19000000000003
196.42,196.63,195.98,196.63,2024-03-31 16:30:00,1.3000000000000114,196.63,196.63,195.32999999999998,194.69999999999996,197.93,198.14000000000001
